date,mels_S,lig_S,mels_N,hvac_N,hvac_S,occ_third_south,occ_fourth_south,zone_temp_avg,air_temp_set_1,air_temp_set_2,dew_point_temperature_set_1d,relative_humidity_set_1,solar_radiation_set_1,rtu_sa_temp_avg,rtu_oa_damper_avg,rtu_ma_temp_avg,rtu_econ_sp_avg,hour_of_day,day_of_week,is_weekend,is_business_hours,total_kw,hvac_kw,hvac_share,total_occ,kw_per_occupant,outdoor_temp_f,indoor_temp_f,fault_econ_stuck_open,fault_econ_stuck_closed,expected_ma_temp_f,ma_temp_deviation,fault_ma_sensor_mismatch,any_economizer_fault,econ_setpoint_deviation_f
2018-10-23 16:00:00,6.4639285715,3.95458333325,19.381875,40.439202377499996,17.006976192499998,24.966666666666665,24.466666666666665,22.980864583333336,11.34,11.3825,7.42,77.07,295.325,66.16291666666666,43.535,64.96083333333334,66.25,16,1,0,1,87.24656547474999,57.446178569999994,0.6584348421901546,49.43333333333333,1.1620939697235333,52.412,73.36555625,False,False,64.2434255365625,0.7174077967708428,False,False,-13.838000000000001
2018-10-23 17:00:00,7.74678571425,3.76041666675,15.6854166675,37.8330491075,16.550125,23.216666666666665,26.983333333333334,22.966531250000003,12.530000000000001,12.545,7.675,72.52000000000001,383.025,66.25583333333333,47.95666666666667,65.02791666666667,66.25,17,1,0,1,81.575793156,54.383174107500004,0.6666582328350926,50.2,1.083330161503984,54.554,73.33975625000001,False,False,64.33073374437501,0.6971829222916597,False,False,-11.695999999999998
2018-10-23 18:00:00,8.8586309525,3.80791666675,16.6549999975,33.1001764675,12.18891386575,11.316666666666666,22.15,23.105197916666665,13.16,12.78,7.8425,70.39,391.9,66.33041666666665,49.04416666666667,65.15708333333333,66.25,18,1,0,1,74.61063795,45.28909033325,0.6070058047700958,33.46666666666667,1.353259671312251,55.688,73.58935625,False,False,64.80978525515624,0.34729807817709,False,False,-10.561999999999998
2018-10-23 19:00:00,8.04083333325,3.6775,21.6760416675,31.945547350000002,12.83243560525,6.066666666666666,9.9,23.184635416666666,13.8975,13.47,8.165,68.5975,522.0,66.31416666666667,57.94916666666667,64.87166666666667,66.25,19,1,0,0,78.172357956,44.77798295525,0.5728109542308253,15.966666666666667,2.8044665733977037,57.0155,73.73234375,False,False,64.04507210390625,0.8265945627604196,False,False,-9.234499999999997
2018-10-23 20:00:00,7.8225,3.7625,20.438333335,34.79020238,18.8711785725,16.016666666666666,12.5,23.266010416666667,14.695,14.3025,8.432500000000001,66.33250000000001,444.275,66.355,60.916666666666664,64.75958333333332,66.25,20,1,0,0,85.6847142875,53.6613809525,0.6262655060323673,28.516666666666666,1.8817550304792519,58.451,73.87881875,False,False,64.480705828125,0.2788775052083281,False,False,-7.7989999999999995
2018-10-23 21:00:00,8.5975,3.7145833332500002,24.6,35.93542857,18.100166665,14.466666666666667,22.9,23.325302083333334,15.37,14.7775,8.4475,63.62,553.15,66.3275,71.42333333333333,65.30208333333333,66.25,21,1,0,0,90.94767856825,54.035595235,0.5941393566681308,37.36666666666667,1.4460908626672615,59.666,73.98554375,False,False,63.758048285625,1.5440350477083271,False,False,-6.584000000000003
2018-10-23 22:00:00,7.1125,3.9358333332499997,19.773333332500002,33.1679583325,22.7576979175,6.566666666666666,17.566666666666666,23.435364583333335,15.8275,15.4475,8.432500000000001,61.6975,438.825,66.30375000000001,76.515,65.10416666666667,66.25,22,1,0,0,86.74732291575,55.92565625,0.6446960479035836,24.133333333333333,2.3173614468232047,60.4895,74.18365625,False,False,63.705572595312496,1.3985940713541751,False,False,-5.7605
2018-10-23 23:00:00,6.2636363635,3.71666666675,14.02475,34.2016071425,21.02771875,1.5833333333333333,12.433333333333334,23.576572916666667,16.0575,15.635,8.9025,62.769999999999996,340.3,66.28916666666666,77.0425,64.88041666666666,66.25,23,1,0,0,79.23437892275,55.2293258925,0.6970374052700803,14.016666666666667,3.9402610624851366,60.9035,74.43783125,False,False,64.01064409671875,0.8697725699479122,False,False,-5.346499999999999
2018-10-24 00:00:00,5.1,3.78333333325,10.957708332500001,34.4071875,23.38528274,0.5666666666666667,1.15,23.64560416666667,15.305,15.1375,9.26,67.45750000000001,168.475,66.20375,66.1275,64.45375,66.25,0,2,0,0,77.63351190575,57.79247024,0.7444268437857382,1.7166666666666666,33.665516644660194,59.549,74.5620875,False,False,64.6343080634375,-0.18055806343750191,False,False,-6.7010000000000005
2018-10-24 01:00:00,3.9363636365,3.3910416665,9.62616666575,31.135,22.103479165,0.03333333333333333,0.35,23.6156875,13.4625,13.3725,9.540000000000001,77.405,19.985,66.00958333333332,50.490833333333335,64.305,66.25,1,2,0,0,70.19205113375,53.238479165,0.7584687768071459,0.3833333333333333,,56.2325,74.5082375,False,False,65.2806653384375,-0.9756653384374943,False,False,-10.017499999999998
2018-10-24 02:00:00,3.684375,0.4525,9.4729166675,34.609479164999996,22.820083332499998,0.8,0.5666666666666667,23.50298958333333,12.575,12.6225,9.522499999999999,81.825,0.0475,66.13541666666666,45.69,64.73708333333335,66.25,2,2,0,0,71.03935416499999,57.429562497499994,0.8084189837102245,1.3666666666666667,42.0216310957317,54.635,74.30538125,False,False,65.31798405687499,-0.5809007235416459,False,False,-11.615000000000002
2018-10-24 03:00:00,3.979375,0.11875,8.386875,32.730000000000004,20.1164102575,4.183333333333334,0.0,23.389760416666668,12.34,12.4925,9.3475,82.125,0.16,66.11874999999999,44.96583333333333,64.84916666666666,66.25,3,2,0,0,65.33141025750001,52.846410257500004,0.8088974361522108,4.183333333333334,12.632608029681275,54.212,74.10156875,False,False,65.15805841515626,-0.3088917484896001,False,False,-12.037999999999997
2018-10-24 04:00:00,3.38541666675,0.6875,8.832,36.7933333325,22.8763333325,5.033333333333333,0.2833333333333333,23.2926875,12.502500000000001,12.870000000000001,8.8475,78.63,0.0675,66.04166666666667,45.53916666666667,64.76833333333333,66.25,4,2,0,0,72.57458333174999,59.669666664999994,0.8221840749982736,5.316666666666666,11.223134795924764,54.5045,73.9268375,False,False,65.0820668553125,-0.3137335219791737,False,False,-11.7455
2018-10-24 05:00:00,3.44583333325,0.47083333325,7.78208333325,37.831502975,21.970682807499998,6.0,1.6,23.215239583333332,12.1325,12.2975,8.8,80.3075,0.15,66.08500000000001,43.74916666666667,64.79833333333333,66.25,5,2,0,0,71.50093578225,59.8021857825,0.8363832602781935,7.6,7.868708655592105,53.838499999999996,73.78743125,False,False,65.05994006921875,-0.2616067358854224,False,False,-12.411500000000004
2018-10-24 06:00:00,3.6125,0.09166666675,7.76041666675,38.281875,22.049732142499998,6.083333333333333,2.0,23.08438541666667,12.035,12.415000000000001,8.725,80.435,0.1725,66.17125,42.370000000000005,65.08291666666668,66.25,6,2,0,0,71.79619047599999,60.3316071425,0.8403176650809576,8.083333333333332,7.463703976391753,53.663,73.55189375,False,False,65.124969468125,-0.04205280145832546,False,False,-12.587000000000003
2018-10-24 07:00:00,3.76458333325,0.00625,7.80295833325,35.902098215,21.1256324425,6.0,2.0,22.993895833333333,12.15,12.425,8.67,79.49000000000001,0.155,66.0725,41.435833333333335,65.07416666666667,66.25,7,2,0,0,68.601522324,57.0277306575,0.8312895796708735,8.0,7.1284663321875,53.870000000000005,73.3890125,False,False,65.3011470121875,-0.22698034552082902,False,False,-12.379999999999995
2018-10-24 08:00:00,3.74166666675,0.0,7.4,35.2397738125,19.76777381,6.0,2.0,22.92879166666667,11.63,12.0775,8.5175,81.4,0.2,65.67791666666668,40.170833333333334,64.93875,66.25,8,2,0,1,66.14921428925,55.0075476225,0.8315676643107061,8.0,6.8759434528125,52.934,73.271825,False,False,65.10195121562501,-0.16320121562500844,False,False,-13.316000000000003
2018-10-24 09:00:00,3.45,0.0,7.661875,36.6747291675,22.063833334999998,6.0,2.0,22.827864583333337,11.6025,11.95,8.505,81.4825,0.2,65.82666666666667,40.92583333333333,64.84791666666666,66.25,9,2,0,1,69.8504375025,58.738562502499995,0.8409190350511075,8.0,7.342320312812499,52.884499999999996,73.09015625,False,False,64.82082304921875,0.027093617447917495,False,False,-13.365500000000004
2018-10-24 10:00:00,3.475,0.0,7.69166666675,42.271525735,21.3492830875,3.4,1.1333333333333333,22.788854166666667,11.397499999999999,11.695,8.57,82.925,0.1575,66.09041666666667,40.95583333333333,64.89666666666668,66.25,10,2,0,1,74.78747548925,63.620808822499995,0.850688011679775,4.533333333333333,14.034001946139705,52.515499999999996,73.0199375,False,False,64.6221742515625,0.2744924151041772,False,False,-13.734500000000004
2018-10-24 11:00:00,3.3125,0.0,7.54583333325,36.9454583325,22.338824405,0.0,0.0,22.75753125,11.7325,11.9975,8.69,81.775,0.1175,66.09833333333333,41.52916666666667,64.87666666666667,66.25,11,2,0,1,70.14261607075001,59.28428273750001,0.8451963450821731,0.0,,53.1185,72.96355625,False,False,64.72206976484375,0.15459690182291297,False,False,-13.131500000000003
2018-10-24 12:00:00,3.525,1.00833333325,7.77,37.6934455125,21.544823717499998,0.5833333333333334,0.9833333333333333,22.739333333333335,11.9225,12.3125,8.7425,81.05,0.0775,66.22625000000001,41.48166666666667,64.88791666666667,66.25,12,2,0,1,71.54160256325,59.23826923,0.8280254719990008,1.5666666666666667,37.8116612106383,53.460499999999996,72.9308,False,False,64.854195055,0.033721611666663875,False,False,-12.789500000000004
2018-10-24 13:00:00,3.82678571425,2.5504166665,8.7920833335,42.3420476175,23.02277381,1.9,1.7,22.77646875,11.817499999999999,12.04,8.8475,82.2,0.12250000000000001,66.15541666666667,40.99916666666667,64.91583333333334,66.25,13,2,0,1,80.53410714175,65.3648214275,0.8116414739962265,3.5999999999999996,18.156894840972225,53.271499999999996,72.99764375,False,False,64.91008919703124,0.005744136302098468,False,False,-12.978500000000004
2018-10-24 14:00:00,4.53571428575,3.9679166665,8.69833333325,36.9522247,20.583636905,3.566666666666667,5.0,22.80833333333333,11.7625,12.04,8.9275,82.95,3.2375,66.16208333333333,40.655,64.98583333333333,66.25,14,2,0,1,74.7378258905,57.535861605,0.7698359019607692,8.566666666666666,6.716248436381323,53.1725,73.05499999999999,False,False,64.97176962500001,0.014063708333324598,False,False,-13.0775
2018-10-24 15:00:00,5.375,3.7541666667499998,13.114333332500001,38.18357143,21.3966741075,8.783333333333333,10.866666666666667,22.896239583333333,11.9875,12.245,9.18,83.125,75.15,66.30166666666666,41.135000000000005,65.06333333333333,66.25,15,2,0,1,81.82374553675,59.580245537500005,0.7281534858452595,19.65,3.032073564249364,53.5775,73.21323125,False,False,65.1360732003125,-0.07273986697916257,False,False,-12.6725
2018-10-24 16:00:00,7.7625,3.51208333325,19.836,42.2574615375,20.39161905,20.866666666666667,13.433333333333334,23.161239583333334,12.295,12.515,9.825,85.025,261.025,66.33083333333333,47.43083333333333,64.74416666666667,66.25,16,2,0,1,93.75966392075,62.649080587499995,0.6681879815658671,34.3,1.8265038072157433,54.131,73.69023125,False,False,64.41312487453125,0.33104179213542295,False,False,-12.119
2018-10-24 17:00:00,8.65,4.1716666665,19.9458333325,35.8234583325,21.126208335,27.016666666666666,17.65,23.13970833333333,13.6375,13.754999999999999,10.1375,79.61,407.0,66.25208333333333,56.89166666666666,64.4975,66.25,17,2,0,1,89.7171666665,56.949666667500004,0.6347688941091444,44.666666666666664,1.2749925373320896,56.5475,73.65147499999999,False,False,63.92073855625,0.5767614437500015,False,False,-9.7025
2018-10-24 18:00:00,9.05,3.98833333325,23.135416665,33.5576309525,21.37257143,21.383333333333333,16.616666666666667,23.234125,15.6625,15.475,9.9925,69.2875,519.575,66.37291666666667,74.33833333333334,65.04541666666665,66.25,18,2,0,1,91.10395238075,54.9302023825,0.6029398390196141,38.0,1.4455316416447368,60.1925,73.821425,False,False,63.68990930375,1.3555073629166543,False,False,-6.057499999999997
